timestamp,"node_network_receive_bytes_total{instance=""172.16.3.219:9100"", job=""otel-collector"", device=""eth1""}","node_network_transmit_bytes_total{instance=""172.16.3.86:9100"", job=""otel-collector"", device=""eth1""}","node_network_receive_bytes_total{instance=""172.16.2.14:9100"", job=""otel-collector"", device=""eth1""}",packet_count_ratio,delta_time_milliseconds,max_delta_time_milliseconds,min_delta_time_milliseconds,variance_delta_time_ratio,cycle_time_nanoseconds,longest_cycle_time_nanoseconds,shortest_cycle_time_nanoseconds,throughput_rcvd_by_imagestore_MBps,throughput_trnsmt_from_otherapps_MBps,throughput_rcvd_by_pnetio_MBps
1747832183,11899608384,21567043203,691067053268,63,15.99431037902832,19.11640167236328,12.860536575317383,0.4273164108307999,1047727,1209953,1010500,1.191772,1.277718,0.003828
1747832184,11900852040,21568355951,691067057048,64,15.948772430419922,17.521381378173828,14.982938766479492,0.15046498845338374,1322632,1390176,1014928,1.186043,1.251934,0.003605
1747832185,11902127238,21569662691,691067058728,64,15.993833541870117,17.035961151123047,15.003204345703125,0.03644896297417403,1055222,6070314,1014035,1.216124,1.246204,0.001602
1747832186,11903375400,21570946901,691067059658,30,9.079933166503906,16.082763671875,9.079933166503906,1.5963415308392115,1038407,1269932,1012113,1.190340,1.224718,0.000887
1747832187,11904587514,21572259649,691067063616,30,0,16.082763671875,9.079933166503906,1.5963415308392115,1041345,1250881,1016108,1.155962,1.251934,0.003775
1747832188,11905846190,21573593425,691067067336,30,0,16.082763671875,9.079933166503906,1.5963415308392115,1039227,1340324,1016742,1.200367,1.271988,0.003548
1747832189,11907092850,21574906173,691067071826,30,0,16.082763671875,9.079933166503906,1.5963415308392115,1027346,2916104,1013325,1.188908,1.251934,0.004282
1747832190,11908341012,21576193387,691067075486,34,16.031742095947266,4048.8533973693848,13.957738876342773,477910.77538975497,1073730,1323048,1010907,1.190340,1.227583,0.003490
1747832191,11909556130,21577522657,691067079446,63,16.018152236938477,17.03190803527832,15.003681182861328,0.06748451262391598,1023441,1328810,1011080,1.158827,1.267691,0.003777
1747832192,11910802790,21578815879,691067083286,64,15.996932983398438,17.035722732543945,15.00082015991211,0.06721042151156104,1041508,3037835,1011530,1.188908,1.233313,0.003662
1747832193,11912047948,21580128627,691067084006,63,15.991926193237305,16.95871353149414,15.023231506347656,0.09413786255455844,1026865,1259878,1011706,1.187475,1.251934,0.000687
1747832194,11913297612,21581441375,691067084426,7,11.875629425048828,16.03102684020996,11.875629425048828,2.3620990611385015,1050416,4678651,1011391,1.191772,1.251934,0.000401
1747832195,11914518738,21582781159,691067084726,7,0,16.03102684020996,11.875629425048828,2.3620990611385015,1018009,4095715,1011913,1.164557,1.277718,0.000286
1747832196,11915793936,21584063867,691067085658,7,0,16.03102684020996,11.875629425048828,2.3620990611385015,1044097,2429934,1012347,1.216124,1.223286,0.000889
1747832197,11917037592,21585375113,691067090084,7,0,16.03102684020996,11.875629425048828,2.3620990611385015,1050595,2833833,1011542,1.186043,1.250502,0.004221
