MD 210,DB 70DBD 4 ΘΕΡΜ ΚΟΛΕΚΤΕΡ ΨΥΓΕΙΩΝ (ΝΕΡΟ ΑΠΟ ΔΕΞΑΜΕΝΗ),DB 30DBW 20 ramposition,DB 20DBW 174 EXTRACTION STEP,DB 10DBW 14 BACKWARD PRESS,DB 20DBD 292,Setpoint position exhaust damper,DB 400DBD 34 z2 energy,T 174,MD 284 C ana kw,MD 70 sinolo ypog-mpanioy,is_low_usage,is_low_usage_next,hour_sin,hour_cos,day_of_week_sin,day_of_week_cos,Energy
0.0,18.66933333333333,1226.0,0.0,0.0,0.0,63.333333333333336,0.0,1020.0,83.25,2727.4773333333337,0,0.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,47.18800000101328
0.0,18.328666666666667,1062.6666666666667,0.6,1.7333333333333334,21845.33333333333,100.0,75060.15,1028.0,191.13,2734.7973333333334,0,0.0,0.9659258262890684,-0.2588190451025206,-0.9749279121818236,-0.2225209339563146,48.83399999886751
120.0,18.17,542.5333333333333,0.6666666666666666,1.5333333333333334,96119.46666666666,100.0,35217.72,1044.0,291.8,2746.007333333333,0,0.0,0.9659258262890684,-0.2588190451025206,-0.9749279121818236,-0.2225209339563146,124.13700000196695
0.0,18.732666666666667,920.1333333333332,1.2666666666666666,14.533333333333331,139810.13333333333,100.0,24720.15,1048.0,226.64,2752.554,0,0.0,0.9659258262890684,-0.2588190451025206,-0.9749279121818236,-0.2225209339563146,152.2880000025034
0.0,17.946,885.8,1.8,2.8666666666666667,96119.46666666666,98.0,29298.31,1035.3333333333333,447.54,2721.538,0,0.0,0.9659258262890684,-0.2588190451025206,-0.9749279121818236,-0.2225209339563146,172.47399999573827
226.66666666666663,17.002666666666666,976.5333333333332,1.1333333333333333,6.466666666666667,235929.6,98.0,29627.27,1058.6666666666667,388.29,2762.9933333333333,0,0.0,0.8660254037844387,-0.4999999999999998,-0.9749279121818236,-0.2225209339563146,164.9670000001788
190.0,18.212,1145.2,1.1333333333333333,4.4,109226.66666666669,100.0,37742.37,1030.0,171.21,2758.5353333333333,0,0.0,0.8660254037844387,-0.4999999999999998,-0.9749279121818236,-0.2225209339563146,159.14600000157952
563.3333333333334,19.31533333333333,871.1333333333333,2.2666666666666666,16.066666666666666,200977.06666666668,100.0,40271.05,1050.6666666666667,209.19,2753.828,0,0.0,0.8660254037844387,-0.4999999999999998,-0.9749279121818236,-0.2225209339563146,170.14600000157952
146.66666666666666,19.884,446.53333333333336,0.8,3.6666666666666665,52428.8,100.0,22331.03,1050.0,243.7,2750.0806666666667,0,0.0,0.8660254037844387,-0.4999999999999998,-0.9749279121818236,-0.2225209339563146,141.4129999987781
513.3333333333334,20.360666666666667,1107.8666666666666,0.7333333333333333,6.266666666666667,235929.6,100.0,29440.99,1035.3333333333333,308.3,2743.156,0,0.0,0.7071067811865476,-0.7071067811865475,-0.9749279121818236,-0.2225209339563146,111.71600000187756
146.66666666666666,21.262666666666668,672.4,1.3333333333333333,4.133333333333334,87381.33333333333,100.0,25555.05,1025.3333333333333,187.09,2743.5626666666667,0,0.0,0.7071067811865476,-0.7071067811865475,-0.9749279121818236,-0.2225209339563146,176.87199999764562
370.0,21.93,906.0,2.066666666666667,3.866666666666666,131072.0,100.0,25969.15,1035.3333333333333,326.06,2733.210666666667,0,0.0,0.7071067811865476,-0.7071067811865475,-0.9749279121818236,-0.2225209339563146,123.8150000013411
56.66666666666666,21.99533333333333,1247.2,1.0,8.733333333333333,148548.26666666666,100.0,25823.53,1050.6666666666667,347.05,2733.0286666666666,0,0.0,0.7071067811865476,-0.7071067811865475,-0.9749279121818236,-0.2225209339563146,158.89799999818206
63.333333333333336,25.50133333333333,1135.8666666666666,0.6666666666666666,3.4,209715.2,100.0,28859.63,1044.0,280.07,2728.514,0,0.0,0.4999999999999999,-0.8660254037844387,-0.9749279121818236,-0.2225209339563146,164.0789999999106
293.3333333333333,26.746,910.9333333333332,0.7333333333333333,7.333333333333333,69905.06666666667,100.0,37737.96,1047.3333333333333,125.14,2736.4353333333333,0,0.0,0.4999999999999999,-0.8660254037844387,-0.9749279121818236,-0.2225209339563146,170.8830000013113
190.0,29.240666666666662,734.8,0.3333333333333333,2.466666666666667,179131.73333333334,100.0,21871.47,1037.3333333333333,179.69,2729.672,0,0.0,0.4999999999999999,-0.8660254037844387,-0.9749279121818236,-0.2225209339563146,135.18599999696016
483.3333333333333,29.00133333333333,1171.4,1.2,3.933333333333333,235929.6,100.0,20229.6,1035.3333333333333,326.48,2731.6566666666668,0,0.0,0.4999999999999999,-0.8660254037844387,-0.9749279121818236,-0.2225209339563146,156.83200000226498
140.66666666666666,29.057333333333336,1377.5333333333333,2.2666666666666666,8.2,235929.6,100.0,20080.77,1044.6666666666667,291.57,2730.864666666667,0,0.0,0.258819045102521,-0.9659258262890682,-0.9749279121818236,-0.2225209339563146,183.99300000071528
307.3333333333333,30.292666666666666,1094.4666666666667,1.4666666666666666,9.933333333333334,131072.0,100.0,30853.0,1052.0,287.51,2732.052,0,0.0,0.258819045102521,-0.9659258262890682,-0.9749279121818236,-0.2225209339563146,177.3339999988675
124.0,30.365333333333336,773.4666666666667,0.8666666666666667,5.933333333333334,144179.2,100.0,31305.26,1041.3333333333333,176.97,2737.504,0,0.0,0.258819045102521,-0.9659258262890682,-0.9749279121818236,-0.2225209339563146,156.64299999922514
54.0,31.188666666666663,1070.4,0.8,6.733333333333333,183500.8,100.0,32326.99,1046.6666666666667,200.25,2736.7726666666663,0,0.0,0.258819045102521,-0.9659258262890682,-0.9749279121818236,-0.2225209339563146,136.81100000068545
146.66666666666666,30.9,271.0,0.0,1.1333333333333333,0.0,100.0,24030.2,1017.3333333333334,161.04,2735.467333333333,0,0.0,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146,149.78099999949336
0.0,30.474,134.4,0.0,0.0666666666666666,61166.93333333333,100.0,27835.17,1025.3333333333333,376.52,2729.1853333333333,0,0.0,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146,62.797000002115965
186.66666666666663,28.87,1291.9333333333334,1.4666666666666666,17.666666666666668,196608.0,100.0,19174.2,1046.0,315.13,2726.413333333333,0,0.0,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146,149.94500000029802
404.0,25.758666666666667,1315.0,1.2,6.6,166024.53333333333,100.0,19823.68,1019.3333333333334,165.74,2731.413333333333,0,0.0,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146,175.29699999839067
363.3333333333333,27.950666666666667,1220.6666666666667,0.0666666666666666,3.2,170393.6,100.0,26809.61,1027.3333333333333,219.86,2732.1053333333334,0,0.0,-0.2588190451025208,-0.9659258262890684,-0.9749279121818236,-0.2225209339563146,190.98999999836087
197.3333333333333,30.063333333333333,1237.2666666666669,1.5333333333333334,4.8,209715.2,100.0,28630.05,1041.3333333333333,274.96,2732.536,0,0.0,-0.2588190451025208,-0.9659258262890684,-0.9749279121818236,-0.2225209339563146,151.0870000012219
140.66666666666666,31.267333333333333,366.73333333333335,0.6666666666666666,1.0,39321.6,100.0,33118.24,1026.0,221.11,2732.966,0,0.0,-0.2588190451025208,-0.9659258262890684,-0.9749279121818236,-0.2225209339563146,161.8559999987483
134.0,31.116,817.3333333333334,1.0,9.666666666666666,166024.53333333333,100.0,40531.17,1031.3333333333333,183.78,2725.852,0,0.0,-0.2588190451025208,-0.9659258262890684,-0.9749279121818236,-0.2225209339563146,121.089999999851
257.3333333333333,30.67,684.1333333333333,0.8,4.0,157286.4,100.0,23806.43,1032.6666666666667,254.92,2730.9726666666666,0,0.0,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,133.62400000169873
340.0,29.922666666666668,1399.0666666666666,1.4,12.733333333333333,209715.2,100.0,22617.99,1056.6666666666667,401.74,2731.9573333333333,0,0.0,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,175.0679999999702
